slang,formal
anakjakartaasikasik,anak jakarta asyik asyik
pakcikdahtua,pak cik sudah tua
pakcikmudalagi,pak cik muda lagi
t3tapjokowi,tetap jokowi
3x,tiga kali
aamiin,amin
aamiinn,amin
aamin,amin
aammiin,amin
abis,habis
abisin,habiskan
acau,kacau
achok,ahok
ad,ada
adek,adik
adl,adalah
adlah,adalah
adlh,adalah
ado,ada
aduhh,aduh
aer,air
afdol,afdal
agamaataualqur,agama alquran
agm,agama
agma,agama
ahaha,haha
ahahaha,haha
ahehehehe,hehe
ahir,akhir
ahirnya,akhirnya
ahk,ahok
ahlamdulillah,alhamdulillah
ahli2,para ahli
ahlusunnah,ahlus sunah
ahmaddani,ahmad dhani
aho,ahok
ahoax,ahok
ahoaxx,ahok
ahog,ahok
ahokataudjarot,ahok djarot
ahokbebanijokowi,ahok beban jokowi
ahokbtp,ahok basuki tjahaja purnama
ahokditolakwarga,ahok ditolak warga
ahokdjarot,ahok djarot
ahokdjarotterbukti,ahok djarot terbukti
ahokers,ahoker
ahokfighter,ahok pejuang
ahokforpresident,ahok for presiden
ahokisthebest,ahok terbaik
ahokjarot,ahok djarot
ahokk,ahok
ahokmasukbui,ahok masuk bui
ahokmeskipun,ahok meskipun
ahokpositifjadi,ahok positif jadi
ahoksatuputaran,ahok satu putaran
ahoksemangat,ahok semangat
ahoktersangka,ahok tersangka
ahokterzhalimi,ahok terzalimi
ahoktetap,ahok tetap
ahoktidaksendiri,ahok tidak sendiri
ahokUSER,ahok
ahook,ahok
ahox,ahok
aing,aku
airmata,air mata
aiskrim,es krim
aj,saja
aja,saja
ajaa,saja
ajah,saja
ajalah,sajalah
aje,saja
ajg,anjing
ajh,saja
ajib,hebat
ajj,saja
ak,aku
akalakalan,akal akalan
akalakaln,akal akalan
akankena,akan kena
akherat,akhirat
akhi,saudara
akhirny,akhirnya
akhirnyamush,akhirnya musuh
akirnya,akhirnya
akn,akan
akoh,aku
aksiaksi1120aksi112020aksi1120,aksi aksi
akumuslim,aku muslim
akuwa,aqua
alahuakbar,allahu akbar
alallohu,alallahu
alesan,alasan
alhamdulilah,alhamdulillah
alhamdulillaah,alhamdulillah
alhamdullilah,alhamdulillah
alhmdllh,alhamdulillah
allahuakbar,allahu akbar
allahughayatuna,allahu ghayatuna
alloh,allah
allohu,allahu
alqur,alquran
ama,sama
amaca,ah masa
amajing,luar biasa
amcaman,ancaman
amiin,amin
aminn,amin
ampe,sampai
amriki,amerika
amuh,kamu
ana,saya
anbiarkekinian,biar kekinian
ancen,memang
ancur,hancur
ancuur,hancur
ane,saya
aneh2,aneh aneh
anget,hangat
angktpn,angkatpun
anjeng,anjing
anjg,anjing
ank,anak
anomaly,anomali
antikorupsi,anti korupsi
antum,kalian
anugrah,anugerah
ap,apa
apa2,apa apa
apaapaan,apa apaan
apaapalah,apa sajalah
apah,apa
apakabar,apa kabar
apalg,apa lagi
apamaunya,apa maunya
apane,apanya
apaoun,apapun
apasih,apa sih
ape,apa
apenista,penista
aph,apa
apk,apakah
aplgi,apa lagi
apo,apa
apose,apa sih
apz,apa
aq,aku
aquh,aku
artinx,artinya
asek,asyik
aseng,asing
asew,anjing
asik,asyik
ask,tanya
asline,aslinya
assalamualaikumalhamdulillahhasil,assalamualaykum alhamdulillah hasil
assalamuallaikum,assalamualaykum
asu,anjing
asw,anjing
asyek,asyik
atauatau05atauatau0atauatau0,atau
atauatauatau,atau
atauatauatau201atauatau201atauatauatau201atauatau,atau
atauatauatauatau,atau
atauatauatauatauatauatauatauatauatauatau,atau
atauem,atau
atauhr,atau
ataus,atau
ati,hati
ati2,hati hati
atit,sakit
ato,atau
atribut2,atribut atribut
atu,satu
atw,atau
awkeren,keren
awutawutan,awut awutan
aya,ada
ayang,sayang
ayok,ayo
ayoo,ayo
ayosavepakahok,ayo lindungi pak ahok
ayuk,ayo
aza,saja
azhan,azan
babeh,ayah
badboy,bad boy
badjingan,bajingan
bae,baik
bagaimnpun,bagaimana
bagi2,bagi bagi
bagimane,bagaimana
bahwasannya,bahwasanya
bakalan,akan
balaikota,balai kota
bales,balas
balikin,kembalikan
baliq,balig
bandarq,bandarku
banding2in,membanding bandingkan
bandingin,bandingkan
banga,bangsa
banged,banget
bangen,banget
bangett,banget
bangettt,banget
bangke,bangkai
bangsag,bangsat
bangst,bangsat
bantuk,bentuk
banun,bangun
banyak2,perbanyak
banyakin,perbanyak
bapake,ayahnya
baper,bawa perasaan
baryaw,sabar ya
baryw,sabar ya
baso,bakso
basukibtp,basuki tjahaja purnama
basukigameover,basuki kalah
bat,banget
bauu,bau
bawak,bawa
bay,selamat tinggal
bayangin,bayangkan
bayaranatausuruhan,bayaran atau suruhan
bbrapa,beberapa
bbrp,beberapa
bc,baca
bct,bacot
bda,beda
bdan,badan
bdg,bandung
bdn,badan
becanda,bercanda
bedoa,berdoa
bedua,berdua
bege,bego
bejad,bejat
bekel,bekal
bekingin,lindungi
belaislambelaislambelaislam,bela islam
belaquran,bela alquran
beliin,belikan
belom,belum
belon,belum
benar2,benar benar
bener,benar
bener2,benar benar
beneran,benaran
berantem,bertengkar
berdo,berdoa
berenti,berhenti
berfikir,berpikir
bergengam,bergenggam
bergoncang,berguncang
berindak,bertindak
beritadan,berita dan
beritain,memberitakan
beritany,beritanya
beritaterkini,berita kini
berkacaberkacanya,berkaca kaca
berrti,berarti
bersyukrlah,bersyukurlah
beruk2,beruk beruk
besoq,besok
bet,banget
bete,sebal
betulin,betulkan
beud,banget
beut,banget
bg,bagi
bgd,banget
bgerak,bergerak
bget,banget
bgi,bagi
bgini,begini
bgitu,begitu
bgks,bungkus
bgm,bagaimana
bgmn,bagaimana
bgmna,bagaimana
bgn,bangun
bgni,begini
bgntdr,bangun tidur
bgs,bagus
bgst,bangsat
